source	Destination	Price	total cost
Louisville, KY	Houston, TX	786	
Louisville, KY	Boston, MA	771	
Louisville, KY	Fort Worth, TX	712	
Louisville, KY	Dallas, TX	697	
Louisville, KY	Oklahoma City, OK	674	
Louisville, KY	Charlotte, NC	502	
Louisville, KY	New York, NY	501	
Louisville, KY	Philadelphia, PA	491	
Louisville, KY	Baltimore, MD	461	
Louisville, KY	Washington, DC	458	
Louisville, KY	Milwaukee, WI	382	
Louisville, KY	Detroit, MI	337	
Louisville, KY	Chicago, IL	288	
Louisville, KY	Memphis, TN	229	
Louisville, KY	Columbus, OH	202	
Louisville, KY	Nashville, TN	173	
Louisville, KY	Indianapolis, IN	128	26004
Los Angeles, CA	Philadelphia, PA	2654	
Los Angeles, CA	Washington, DC	2622	
Los Angeles, CA	Baltimore, MD	2620	
Los Angeles, CA	Boston, MA	2554	
Los Angeles, CA	Charlotte, NC	2452	
Los Angeles, CA	New York, NY	2428	
Los Angeles, CA	Detroit, MI	2351	
Los Angeles, CA	Columbus, OH	2325	
Los Angeles, CA	Louisville, KY	2213	
Los Angeles, CA	Indianapolis, IN	2208	
Los Angeles, CA	Jacksonville, FL	2200	
Los Angeles, CA	Nashville, TN	2160	
Los Angeles, CA	Memphis, TN	2010	
Los Angeles, CA	Milwaukee, WI	1929	
Los Angeles, CA	Chicago, IL	1903	
Los Angeles, CA	Seattle, WA	1690	
Los Angeles, CA	Houston, TX	1649	
Los Angeles, CA	Oklahoma City, OK	1642	
Los Angeles, CA	Dallas, TX	1577	
Los Angeles, CA	Austin, TX	1556	
Los Angeles, CA	Fort Worth, TX	1548	
Los Angeles, CA	Portland, OR	1521	
Los Angeles, CA	San Antonio, TX	1506	
Los Angeles, CA	Denver, CO	1394	
Los Angeles, CA	El Paso, TX	820	
Los Angeles, CA	Albuquerque, NM	810	
Los Angeles, CA	Tucson, AZ	568	
Los Angeles, CA	San Francisco, CA	471	
Los Angeles, CA	Phoenix, AZ	469	
Los Angeles, CA	Las Vegas, NV	445	
Los Angeles, CA	San Jose, CA	434	
Los Angeles, CA	Fresno, CA	282	
Los Angeles, CA	San Diego, CA	181	53192
Las Vegas, NV	Boston, MA	1485	
Las Vegas, NV	Washington, DC	1484	
Las Vegas, NV	Baltimore, MD	1472	
Las Vegas, NV	New York, NY	1459	
Las Vegas, NV	Philadelphia, PA	1443	
Las Vegas, NV	Detroit, MI	1429	
Las Vegas, NV	Charlotte, NC	1380	
Las Vegas, NV	Indianapolis, IN	1347	
Las Vegas, NV	Milwaukee, WI	1323	
Las Vegas, NV	Chicago, IL	1304	
Las Vegas, NV	Columbus, OH	1295	
Las Vegas, NV	Jacksonville, FL	1287	
Las Vegas, NV	Louisville, KY	1230	
Las Vegas, NV	Nashville, TN	1206	
Las Vegas, NV	Memphis, TN	1109	
Las Vegas, NV	Oklahoma City, OK	1002	
Las Vegas, NV	Houston, TX	984	
Las Vegas, NV	Seattle, WA	979	
Las Vegas, NV	Austin, TX	968	
Las Vegas, NV	San Antonio, TX	943	
Las Vegas, NV	Portland, OR	923	
Las Vegas, NV	Dallas, TX	867	
Las Vegas, NV	Fort Worth, TX	855	
Las Vegas, NV	Denver, CO	760	
Las Vegas, NV	El Paso, TX	649	
Las Vegas, NV	Albuquerque, NM	556	
Las Vegas, NV	Tucson, AZ	314	
Las Vegas, NV	Fresno, CA	277	
Las Vegas, NV	Phoenix, AZ	245	
Las Vegas, NV	San Francisco, CA	198	
Las Vegas, NV	San Jose, CA	189	
Las Vegas, NV	San Diego, CA	183	
Las Vegas, NV	Los Angeles, CA	155	31300
Jacksonville, FL	Portland, OR	2811	
Jacksonville, FL	Seattle, WA	2781	
Jacksonville, FL	Las Vegas, NV	2252	
Jacksonville, FL	Denver, CO	2181	
Jacksonville, FL	Phoenix, AZ	2141	
Jacksonville, FL	Tucson, AZ	2067	
Jacksonville, FL	Albuquerque, NM	1971	
Jacksonville, FL	El Paso, TX	1879	
Jacksonville, FL	San Francisco, CA	1518	
Jacksonville, FL	San Jose, CA	1502	
Jacksonville, FL	San Antonio, TX	1490	
Jacksonville, FL	Austin, TX	1461	
Jacksonville, FL	Fresno, CA	1453	
Jacksonville, FL	Los Angeles, CA	978	
Jacksonville, FL	San Diego, CA	957	
Jacksonville, FL	Milwaukee, WI	918	
Jacksonville, FL	Chicago, IL	804	
Jacksonville, FL	Fort Worth, TX	692	
Jacksonville, FL	Dallas, TX	680	
Jacksonville, FL	Oklahoma City, OK	614	
Jacksonville, FL	Columbus, OH	606	
Jacksonville, FL	Memphis, TN	596	
Jacksonville, FL	Nashville, TN	591	
Jacksonville, FL	Indianapolis, IN	565	
Jacksonville, FL	Louisville, KY	562	
Jacksonville, FL	Houston, TX	560	
Jacksonville, FL	Detroit, MI	544	
Jacksonville, FL	Boston, MA	542	
Jacksonville, FL	Philadelphia, PA	455	
Jacksonville, FL	Baltimore, MD	418	
Jacksonville, FL	New York, NY	400	
